"filename", "language", "JSON", "HTML", "JavaScript", "Markdown", "vue", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\76006\Desktop\前台应用\README.en.md", "Markdown", 0, 0, 0, 69, 0, 0, 0, 0, 32, 101
"c:\Users\76006\Desktop\前台应用\README.md", "Markdown", 0, 0, 0, 69, 0, 0, 0, 0, 32, 101
"c:\Users\76006\Desktop\前台应用\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\76006\Desktop\前台应用\package.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\76006\Desktop\前台应用\prettier.config.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 2, 1, 17
"c:\Users\76006\Desktop\前台应用\src\App.vue", "vue", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\76006\Desktop\前台应用\src\assets\css\common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 80, 1, 7, 88
"c:\Users\76006\Desktop\前台应用\src\assets\css\custom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 81, 4, 3, 88
"c:\Users\76006\Desktop\前台应用\src\assets\css\layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 653, 5, 11, 669
"c:\Users\76006\Desktop\前台应用\src\assets\css\mixin.scss", "SCSS", 0, 0, 0, 0, 0, 0, 14, 4, 1, 19
"c:\Users\76006\Desktop\前台应用\src\assets\css\themes.scss", "SCSS", 0, 0, 0, 0, 0, 0, 39, 2, 8, 49
"c:\Users\76006\Desktop\前台应用\src\assets\jituan1.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\76006\Desktop\前台应用\src\assets\svg\full-screen-max.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\76006\Desktop\前台应用\src\assets\svg\full-screen-min.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
